Date,Open,High,Low,Close,Volume
31-Dec-15,103.89,104.97,103.89,104.69,188756
30-Dec-15,104.18,104.49,103.42,104.12,402605
29-Dec-15,104.47,104.99,103.49,104.16,439670
28-Dec-15,103.22,104.50,102.76,103.37,380707
24-Dec-15,103.85,104.70,103.00,103.32,147091
23-Dec-15,103.07,104.49,102.40,103.63,907358
22-Dec-15,103.24,104.10,101.85,103.32,680446
21-Dec-15,103.87,104.65,102.26,103.29,1376657
18-Dec-15,102.98,104.65,101.04,104.12,1599168
17-Dec-15,104.80,104.95,101.03,103.09,1487766
16-Dec-15,102.67,105.00,101.59,104.54,1230532
15-Dec-15,100.76,102.83,99.72,101.88,2082599
14-Dec-15,98.87,101.00,98.00,101.00,1255588
11-Dec-15,100.98,100.98,98.04,99.08,1229536
10-Dec-15,100.42,102.00,99.10,100.59,1612089
9-Dec-15,100.43,100.88,99.04,100.58,1245715
8-Dec-15,100.85,100.87,98.69,100.10,1613968
7-Dec-15,98.88,99.89,98.62,99.73,2086303
4-Dec-15,99.71,100.50,98.04,98.90,1485763
3-Dec-15,102.95,102.95,98.39,99.71,1680930
2-Dec-15,103.84,104.39,101.60,102.21,1243913
1-Dec-15,104.31,105.00,101.18,104.08,1851146
30-Nov-15,103.67,105.89,102.00,104.45,3641131
27-Nov-15,104.48,104.83,102.81,103.95,651956
26-Nov-15,104.75,104.99,102.80,104.70,320240
25-Nov-15,103.31,105.09,103.20,104.99,1194434
24-Nov-15,104.38,106.95,103.30,103.77,837001
23-Nov-15,105.99,106.00,103.02,104.51,719826
20-Nov-15,104.05,106.00,101.61,106.00,1007330
19-Nov-15,102.48,104.47,102.48,104.13,1019345
18-Nov-15,101.81,103.12,101.80,102.46,620339
17-Nov-15,103.95,105.39,101.41,101.81,1851644
13-Nov-15,102.15,103.99,101.50,103.62,1167445
12-Nov-15,104.37,104.41,101.80,101.82,453558
11-Nov-15,102.13,104.52,100.51,104.01,1148657
10-Nov-15,100.42,104.43,100.41,101.82,1199985
9-Nov-15,106.00,106.05,101.51,102.78,2119136
6-Nov-15,105.02,105.98,103.73,104.32,728717
