Date,BMV:AC,BMV:ACCELSAB,BMV:ACTINVRB,BMV:AEROMEX,BMV:AGUA,BMV:ALFAA,BMV:ALPEKA,BMV:ALSEA,BMV:AMXA,BMV:AMXL
1-Jul-14,89.89,0.0,14.52,22.05,0.0,36.2,0.0,47.5,13.5,13.5
2-Jul-14,89.5,0.0,14.5,22.0,0.0,36.77,24.82,47.69,13.41,13.53
3-Jul-14,89.63,0.0,14.45,22.0,0.0,37.0,25.11,47.45,13.32,13.58
4-Jul-14,89.69,0.0,14.4,22.08,0.0,37.01,25.1,47.34,13.4,13.37
7-Jul-14,89.39,0.0,14.4,22.3,0.0,37.05,25.0,47.59,13.4,13.52
8-Jul-14,89.9,0.0,14.4,22.24,0.0,37.2,25.27,48.0,13.29,13.46
9-Jul-14,89.49,0.0,14.44,22.01,0.0,36.36,25.1,48.0,14.35,14.78
10-Jul-14,89.05,0.0,14.44,22.13,0.0,36.8,24.32,47.7,14.51,14.64
11-Jul-14,88.02,0.0,14.32,22.28,0.0,36.45,24.68,47.3,15.0,14.92
14-Jul-14,90.39,0.0,14.44,22.06,0.0,37.0,24.85,46.89,15.1,15.02
15-Jul-14,88.18,0.0,14.45,22.0,0.0,37.16,24.95,46.82,15.3,15.36
16-Jul-14,88.4,0.0,14.44,22.0,0.0,36.49,24.37,46.51,15.35,15.5
17-Jul-14,90.37,0.0,14.6,22.01,0.0,36.15,24.05,45.32,15.36,15.54
18-Jul-14,92.8,0.0,14.9,22.05,0.0,36.8,23.2,46.8,15.48,15.47
21-Jul-14,92.89,0.0,14.8,22.01,0.0,37.45,23.1,46.67,15.4,15.07
22-Jul-14,93.0,0.0,14.9,22.09,0.0,37.8,23.15,46.0,15.3,15.41
23-Jul-14,93.67,0.0,15.3,22.0,0.0,37.44,23.31,46.02,15.35,15.4
24-Jul-14,93.14,0.0,15.1,22.28,0.0,37.79,23.32,46.0,15.3,15.49
25-Jul-14,93.27,0.0,15.1,22.0,0.0,37.69,23.32,46.43,15.5,15.53
28-Jul-14,94.36,0.0,15.25,22.05,0.0,37.9,23.65,46.0,15.56,15.66
29-Jul-14,94.3,0.0,15.25,22.13,0.0,37.52,24.04,46.01,15.62,15.66
30-Jul-14,93.95,0.0,15.2,22.1,0.0,36.9,24.23,45.8,15.62,15.69
31-Jul-14,93.46,0.0,15.19,22.0,0.0,36.1,24.16,45.16,15.5,15.61
1-Aug-14,93.99,9.4,14.47,22.15,0.0,36.63,24.01,44.6,15.04,15.46
4-Aug-14,93.87,9.4,15.2,22.89,0.0,36.95,23.96,45.19,15.4,15.67
5-Aug-14,94.99,9.68,15.2,22.2,0.0,36.7,25.3,43.39,15.36,15.4
6-Aug-14,94.06,9.35,14.91,22.11,0.0,36.52,25.15,44.03,15.69,15.37
7-Aug-14,93.61,9.35,15.0,22.0,0.0,36.3,25.16,43.59,15.1,15.02
8-Aug-14,93.5,9.4,15.2,22.0,0.0,36.35,24.75,44.0,15.1,15.21
11-Aug-14,93.4,9.0,15.22,22.15,0.0,36.6,24.58,43.89,15.15,15.52
12-Aug-14,93.91,9.0,15.3,22.22,0.0,37.0,24.59,43.75,15.4,15.51
13-Aug-14,94.65,9.0,15.31,22.5,0.0,37.55,24.61,43.64,15.5,15.52
14-Aug-14,94.82,9.0,15.6,22.13,0.0,39.4,24.66,43.35,15.4,15.45
15-Aug-14,95.0,9.0,15.7,22.0,0.0,39.3,24.75,43.62,15.4,15.46
18-Aug-14,95.38,9.0,15.7,22.0,0.0,38.91,24.81,44.25,15.4,15.54
19-Aug-14,96.7,9.0,15.84,22.04,0.0,39.71,24.84,44.03,15.4,15.48
20-Aug-14,96.75,9.0,15.8,22.23,0.0,40.34,25.3,44.39,15.4,15.64
21-Aug-14,98.25,9.0,16.1,22.25,0.0,42.0,25.44,45.3,15.8,15.8
22-Aug-14,96.87,9.0,16.0,22.15,0.0,43.14,26.35,45.43,15.55,15.71
25-Aug-14,98.4,9.0,16.05,22.12,0.0,42.63,26.4,45.25,15.72,15.67
26-Aug-14,97.47,9.0,16.1,21.95,0.0,41.5,27.19,45.32,15.8,15.71
27-Aug-14,97.28,9.0,16.23,21.75,0.0,42.29,26.73,45.08,15.8,15.86
28-Aug-14,96.51,9.0,16.3,21.31,0.0,42.15,26.55,45.48,15.7,15.92
29-Aug-14,96.0,9.0,16.4,21.02,0.0,42.22,26.76,45.2,15.9,16.07
1-Sep-14,94.16,9.0,16.4,21.05,0.0,41.24,26.38,45.15,15.2,16.1
2-Sep-14,95.0,9.0,16.5,20.85,0.0,41.49,26.1,45.95,16.1,16.42
3-Sep-14,95.85,9.0,16.4,20.91,0.0,41.3,26.16,46.0,16.15,16.52
4-Sep-14,96.11,9.68,16.21,20.69,0.0,42.25,26.28,45.58,17.02,17.06
5-Sep-14,96.01,9.0,16.2,20.27,0.0,42.54,26.37,45.25,17.26,17.18
8-Sep-14,97.3,8.9,16.1,20.45,0.0,43.71,26.29,45.11,17.36,17.39
9-Sep-14,96.9,9.4,16.19,20.16,0.0,43.84,26.16,44.3,17.1,17.22
10-Sep-14,96.61,9.0,16.2,19.82,0.0,45.0,25.61,44.61,17.08,17.01
11-Sep-14,96.85,8.95,16.2,20.25,0.0,44.77,25.53,44.73,16.5,16.89
12-Sep-14,96.43,9.4,16.2,20.27,0.0,45.9,25.39,44.12,16.77,17.06
15-Sep-14,95.65,8.95,16.4,20.96,0.0,46.11,25.28,44.36,17.1,17.36
17-Sep-14,94.99,8.95,16.4,20.95,0.0,46.9,25.0,44.33,17.61,17.48
18-Sep-14,94.41,8.95,16.22,20.55,0.0,46.49,25.18,44.09,17.45,17.53
19-Sep-14,92.24,8.95,16.2,20.78,0.0,46.55,25.08,43.94,17.45,17.12
22-Sep-14,91.92,8.95,16.15,20.5,0.0,45.83,25.07,43.71,17.0,17.19
23-Sep-14,91.81,8.95,16.05,20.6,0.0,44.9,25.09,43.8,16.7,16.82
24-Sep-14,93.7,8.95,16.24,20.43,0.0,44.94,24.93,43.68,16.5,16.83
25-Sep-14,93.01,8.95,16.2,20.5,0.0,43.97,25.0,43.31,16.5,16.85
26-Sep-14,91.5,8.95,16.19,20.49,0.0,44.69,25.0,43.2,17.0,16.96
29-Sep-14,91.99,8.95,16.01,20.19,0.0,45.64,24.81,43.0,16.7,16.73
30-Sep-14,92.2,8.95,16.02,19.9,0.0,46.2,24.5,42.41,16.7,16.93
1-Oct-14,91.8,8.95,16.15,20.24,0.0,44.91,24.74,42.51,16.7,16.52
2-Oct-14,93.89,8.95,16.0,19.92,0.0,44.64,24.8,43.1,16.41,16.65
3-Oct-14,95.32,8.95,16.0,20.21,0.0,44.35,24.26,42.63,16.74,16.74
6-Oct-14,95.0,9.4,16.2,19.86,0.0,44.94,24.2,42.08,16.8,16.8
7-Oct-14,92.84,8.95,16.06,19.95,0.0,44.83,24.2,41.95,16.7,16.77
8-Oct-14,92.28,8.95,16.1,20.5,0.0,44.17,23.9,40.98,16.7,16.6
9-Oct-14,91.74,8.95,16.0,20.17,0.0,42.9,23.84,40.37,16.42,16.57
10-Oct-14,89.63,8.95,16.0,20.4,0.0,42.6,23.58,38.76,16.41,16.25
13-Oct-14,89.9,9.4,16.15,20.42,0.0,42.15,23.67,38.3,16.25,16.25
14-Oct-14,90.0,9.4,16.0,20.5,0.0,42.41,23.5,39.07,15.45,16.38
15-Oct-14,89.8,8.95,15.94,20.01,0.0,40.6,23.4,38.43,16.2,16.2
16-Oct-14,90.43,8.95,15.94,19.75,0.0,40.55,23.48,38.21,16.2,16.12
17-Oct-14,92.28,8.95,16.2,20.38,0.0,41.1,23.8,39.11,16.0,16.31
20-Oct-14,92.4,9.4,16.31,20.68,0.0,39.0,24.17,39.07,15.51,16.23
21-Oct-14,92.0,8.95,16.18,20.36,0.0,39.06,24.94,40.34,16.35,16.33
22-Oct-14,91.8,9.0,16.2,21.0,0.0,39.98,24.2,40.35,16.38,16.13
23-Oct-14,90.0,9.0,16.18,21.11,0.0,41.25,23.66,40.32,16.25,16.12
24-Oct-14,90.5,9.0,16.15,21.34,0.0,41.09,23.57,40.17,15.9,15.98
27-Oct-14,90.43,9.0,16.01,21.07,0.0,40.84,23.41,40.15,16.08,16.1
28-Oct-14,89.68,9.0,16.06,20.89,0.0,40.58,23.23,41.35,16.15,16.03
29-Oct-14,88.78,8.95,16.04,21.21,0.0,41.46,23.33,41.37,16.0,16.11
30-Oct-14,88.83,8.95,16.38,21.17,0.0,41.97,23.72,41.71,16.15,16.15
